,league,date,home,away,home_goals,away_goals,result,home_odds,draw_odds,away_odds
1999,Liga Profesional ,07/05/2017,Aldosivi,Huracan,0.0,3.0,A,2.59,3.06,3.26
2000,Liga Profesional ,07/05/2017,Defensa y Justicia,Godoy Cruz,0.0,0.0,D,1.58,3.99,7.02
2001,Liga Profesional ,07/05/2017,San Lorenzo,Rosario Central,2.0,1.0,H,2.25,3.3,3.6
2002,Liga Profesional ,08/05/2017,Colon Santa FE,Atl. Tucuman,2.0,2.0,D,2.18,3.35,3.73
2003,Liga Profesional ,08/05/2017,Newells Old Boys,Independiente,2.0,4.0,A,2.68,3.08,3.06
2004,Liga Profesional ,09/05/2017,Banfield,Sarmiento Junin,2.0,0.0,H,1.46,4.46,8.69
2005,Liga Profesional ,09/05/2017,Velez Sarsfield,Belgrano,1.0,2.0,A,1.97,3.27,4.72
2006,Liga Profesional ,13/05/2017,San Martin S.J.,Godoy Cruz,1.0,2.0,A,2.43,3.13,3.33
2007,Liga Profesional ,13/05/2017,Estudiantes L.P.,Gimnasia L.P.,1.0,0.0,H,2.02,3.08,4.89
2008,Liga Profesional ,13/05/2017,Talleres Cordoba,Belgrano,1.0,1.0,D,1.99,3.18,4.79
2009,Liga Profesional ,13/05/2017,Banfield,Lanus,1.0,0.0,H,2.6,3.13,3.11
2010,Liga Profesional ,13/05/2017,Atl. Rafaela,Atl. Tucuman,1.0,0.0,H,1.99,3.58,4.1
2011,Liga Profesional ,13/05/2017,Huracan,San Lorenzo,0.0,1.0,A,3.41,3.27,2.35
2012,Liga Profesional ,13/05/2017,Olimpo Bahia Blanca,Aldosivi,2.0,0.0,H,1.97,3.4,4.49
2013,Liga Profesional ,14/05/2017,Colon Santa FE,Union de Santa Fe,1.0,1.0,D,2.16,3.26,3.92
2014,Liga Profesional ,14/05/2017,Newells Old Boys,Rosario Central,1.0,3.0,A,2.8,3.09,2.91
2015,Liga Profesional ,14/05/2017,Boca Juniors,River Plate,1.0,3.0,A,2.07,3.43,4.01
2016,Liga Profesional ,14/05/2017,Independiente,Racing Club,2.0,0.0,H,2.09,3.4,3.95
2017,Liga Profesional ,14/05/2017,Patronato,Sarmiento Junin,2.0,2.0,D,2.13,3.33,3.9
2018,Liga Profesional ,15/05/2017,Arsenal Sarandi,Temperley,2.0,0.0,H,2.41,3.3,3.26
2019,Liga Profesional ,15/05/2017,Defensa y Justicia,Quilmes,2.0,0.0,H,1.45,4.45,9.12
2020,Liga Profesional ,16/05/2017,Velez Sarsfield,Tigre,2.0,1.0,H,2.09,3.4,3.95
2021,Liga Profesional ,20/05/2017,Atl. Tucuman,Banfield,3.0,0.0,H,2.71,3.11,2.99
2022,Liga Profesional ,20/05/2017,Belgrano,Patronato,1.0,1.0,D,1.99,3.19,4.79
2023,Liga Profesional ,20/05/2017,Lanus,Atl. Rafaela,2.0,0.0,H,2.59,3.21,3.06
2024,Liga Profesional ,20/05/2017,Sarmiento Junin,Talleres Cordoba,1.0,4.0,A,3.59,3.23,2.29
2025,Liga Profesional ,20/05/2017,Boca Juniors,Newells Old Boys,1.0,0.0,H,1.56,4.09,7.15
2026,Liga Profesional ,20/05/2017,Tigre,San Martin S.J.,1.0,1.0,D,1.94,3.57,4.35
2027,Liga Profesional ,21/05/2017,Union de Santa Fe,Arsenal Sarandi,0.0,1.0,A,1.99,3.32,4.51
2028,Liga Profesional ,21/05/2017,Independiente,Huracan,2.0,1.0,H,1.53,4.04,7.97
2029,Liga Profesional ,21/05/2017,Godoy Cruz,Velez Sarsfield,3.0,0.0,H,2.39,3.19,3.41
2030,Liga Profesional ,21/05/2017,San Lorenzo,Aldosivi,0.0,1.0,A,1.47,4.47,8.09
2031,Liga Profesional ,21/05/2017,Temperley,Colon Santa FE,3.0,0.0,H,3.08,3.13,2.63
2032,Liga Profesional ,21/05/2017,Quilmes,Defensa y Justicia,0.0,2.0,A,4.93,3.36,1.91
2033,Liga Profesional ,22/05/2017,Rosario Central,Racing Club,4.0,1.0,H,2.12,3.46,3.77
2034,Liga Profesional ,22/05/2017,Olimpo Bahia Blanca,Estudiantes L.P.,3.0,1.0,H,3.06,3.22,2.58
2035,Liga Profesional ,23/05/2017,Gimnasia L.P.,River Plate,0.0,3.0,A,5.32,3.73,1.76
2036,Liga Profesional ,26/05/2017,Aldosivi,Independiente,0.0,0.0,D,5.67,3.7,1.73
2037,Liga Profesional ,27/05/2017,Colon Santa FE,Gimnasia L.P.,1.0,2.0,A,1.93,3.24,5.05
2038,Liga Profesional ,27/05/2017,Banfield,Temperley,3.0,1.0,H,1.68,3.79,6.02
2039,Liga Profesional ,27/05/2017,Newells Old Boys,Olimpo Bahia Blanca,3.0,2.0,H,1.92,3.27,5.04
2040,Liga Profesional ,27/05/2017,Huracan,Boca Juniors,1.0,1.0,D,4.28,3.37,2.02
2041,Liga Profesional ,27/05/2017,San Martin S.J.,Sarmiento Junin,4.0,2.0,H,2.02,3.52,4.06
2042,Liga Profesional ,28/05/2017,Racing Club,San Lorenzo,2.0,1.0,H,2.45,3.43,3.06
2043,Liga Profesional ,28/05/2017,Defensa y Justicia,Tigre,1.0,0.0,H,1.83,3.55,5.03
2044,Liga Profesional ,28/05/2017,Arsenal Sarandi,Lanus,0.0,2.0,A,3.83,3.23,2.2
2045,Liga Profesional ,28/05/2017,Talleres Cordoba,Atl. Tucuman,2.0,1.0,H,1.45,4.4,9.08
2046,Liga Profesional ,28/05/2017,River Plate,Rosario Central,0.0,0.0,D,1.79,3.83,4.85
2047,Liga Profesional ,28/05/2017,Atl. Rafaela,Belgrano,1.0,2.0,A,1.93,3.49,4.69
2048,Liga Profesional ,29/05/2017,Patronato,Godoy Cruz,0.0,3.0,A,2.71,3.18,2.93
2049,Liga Profesional ,29/05/2017,Estudiantes L.P.,Union de Santa Fe,2.0,0.0,H,1.65,3.83,6.39
2050,Liga Profesional ,30/05/2017,Velez Sarsfield,Quilmes,0.0,0.0,D,1.65,3.92,6.13
2051,Liga Profesional ,01/06/2017,Atl. Tucuman,River Plate,0.0,3.0,A,3.83,3.64,2.02
2052,Liga Profesional ,01/06/2017,Arsenal Sarandi,Olimpo Bahia Blanca,1.0,0.0,H,2.46,3.18,3.29
2053,Liga Profesional ,02/06/2017,Sarmiento Junin,Defensa y Justicia,1.0,0.0,H,6.64,4.1,1.58
2054,Liga Profesional ,03/06/2017,Godoy Cruz,Atl. Rafaela,0.0,2.0,A,2.06,3.51,3.73
