,league,date,home,away,home_goals,away_goals,result,home_odds,draw_odds,away_odds
0,Liga Profesional ,03/08/2012,Arsenal Sarandi,Union de Santa Fe,1.0,0.0,H,1.9,3.39,5.03
1,Liga Profesional ,04/08/2012,Velez Sarsfield,Argentinos Jrs,3.0,0.0,H,2.0,3.24,4.55
2,Liga Profesional ,04/08/2012,Racing Club,Atl. Rafaela,1.0,1.0,D,1.91,3.34,5.09
3,Liga Profesional ,04/08/2012,Colon Santa FE,Lanus,1.0,0.0,H,2.5,3.16,3.27
4,Liga Profesional ,04/08/2012,Quilmes,Boca Juniors,3.0,0.0,H,3.18,3.13,2.58
5,Liga Profesional ,05/08/2012,Newells Old Boys,Independiente,0.0,0.0,D,1.96,3.35,4.59
6,Liga Profesional ,05/08/2012,Godoy Cruz,All Boys,1.0,1.0,D,2.22,3.23,3.78
7,Liga Profesional ,05/08/2012,San Lorenzo,San Martin S.J.,2.0,1.0,H,1.91,3.25,5.17
8,Liga Profesional ,05/08/2012,River Plate,Belgrano,1.0,2.0,A,1.93,3.39,4.74
9,Liga Profesional ,07/08/2012,Tigre,Estudiantes L.P.,1.0,2.0,A,2.5,3.16,3.26
10,Liga Profesional ,10/08/2012,San Martin S.J.,Colon Santa FE,0.0,1.0,A,2.79,3.21,2.86
11,Liga Profesional ,11/08/2012,Lanus,Newells Old Boys,0.0,1.0,A,2.31,3.19,3.56
12,Liga Profesional ,11/08/2012,Estudiantes L.P.,River Plate,0.0,2.0,A,2.44,3.11,3.46
13,Liga Profesional ,11/08/2012,All Boys,Quilmes,1.0,1.0,D,2.65,3.11,3.06
14,Liga Profesional ,11/08/2012,Belgrano,San Lorenzo,0.0,0.0,D,2.56,3.15,3.19
15,Liga Profesional ,12/08/2012,Argentinos Jrs,Racing Club,0.0,2.0,A,2.77,3.08,2.94
16,Liga Profesional ,12/08/2012,Union de Santa Fe,Godoy Cruz,0.0,1.0,A,2.52,3.11,3.26
17,Liga Profesional ,13/08/2012,Boca Juniors,Tigre,2.0,0.0,H,1.98,3.34,4.51
18,Liga Profesional ,13/08/2012,Atl. Rafaela,Arsenal Sarandi,0.0,0.0,D,2.98,3.28,2.59
19,Liga Profesional ,14/08/2012,Independiente,Velez Sarsfield,0.0,0.0,D,3.42,3.15,2.41
20,Liga Profesional ,18/08/2012,Boca Juniors,All Boys,3.0,1.0,H,1.85,3.46,5.16
21,Liga Profesional ,18/08/2012,Colon Santa FE,Belgrano,2.0,2.0,D,2.15,3.2,4.04
22,Liga Profesional ,19/08/2012,San Lorenzo,Estudiantes L.P.,0.0,1.0,A,2.54,3.16,3.1
23,Liga Profesional ,19/08/2012,Racing Club,Independiente,2.0,0.0,H,2.41,3.08,3.49
24,Liga Profesional ,19/08/2012,Godoy Cruz,Atl. Rafaela,2.0,0.0,H,2.27,3.26,3.6
25,Liga Profesional ,19/08/2012,Velez Sarsfield,Lanus,0.0,2.0,A,2.09,3.19,4.28
26,Liga Profesional ,19/08/2012,Tigre,River Plate,2.0,3.0,A,2.71,3.02,3.07
27,Liga Profesional ,20/08/2012,Quilmes,Union de Santa Fe,2.0,1.0,H,2.09,3.18,4.3
28,Liga Profesional ,20/08/2012,Arsenal Sarandi,Argentinos Jrs,2.0,2.0,D,1.99,3.3,4.55
29,Liga Profesional ,20/08/2012,Newells Old Boys,San Martin S.J.,2.0,0.0,H,1.72,3.64,5.85
30,Liga Profesional ,25/08/2012,All Boys,Tigre,2.0,2.0,D,2.72,3.06,3.02
31,Liga Profesional ,25/08/2012,Union de Santa Fe,Boca Juniors,1.0,2.0,A,2.6,3.03,3.2
32,Liga Profesional ,25/08/2012,Argentinos Jrs,Godoy Cruz,2.0,1.0,H,2.44,3.19,3.32
33,Liga Profesional ,26/08/2012,Independiente,Arsenal Sarandi,0.0,2.0,A,3.07,3.12,2.64
34,Liga Profesional ,26/08/2012,Atl. Rafaela,Quilmes,1.0,1.0,D,3.01,3.02,2.76
35,Liga Profesional ,26/08/2012,Belgrano,Newells Old Boys,0.0,0.0,D,3.11,3.1,2.62
36,Liga Profesional ,26/08/2012,Lanus,Racing Club,1.0,1.0,D,2.11,3.18,4.23
37,Liga Profesional ,26/08/2012,San Martin S.J.,Velez Sarsfield,0.0,3.0,A,3.64,3.26,2.24
38,Liga Profesional ,26/08/2012,River Plate,San Lorenzo,0.0,0.0,D,1.88,3.49,4.8
39,Liga Profesional ,27/08/2012,Estudiantes L.P.,Colon Santa FE,1.0,2.0,A,2.25,3.16,3.74
40,Liga Profesional ,01/09/2012,All Boys,Union de Santa Fe,3.0,1.0,H,2.02,3.34,4.29
41,Liga Profesional ,01/09/2012,Newells Old Boys,Estudiantes L.P.,1.0,0.0,H,2.21,3.17,3.88
42,Liga Profesional ,01/09/2012,Arsenal Sarandi,Lanus,1.0,0.0,H,2.5,3.09,3.32
43,Liga Profesional ,02/09/2012,Velez Sarsfield,Belgrano,2.0,1.0,H,1.7,3.68,6.04
44,Liga Profesional ,02/09/2012,Tigre,San Lorenzo,1.0,1.0,D,2.52,3.22,3.14
45,Liga Profesional ,02/09/2012,Boca Juniors,Atl. Rafaela,2.0,1.0,H,1.65,3.95,6.01
46,Liga Profesional ,02/09/2012,Godoy Cruz,Independiente,2.0,1.0,H,2.06,3.32,4.13
47,Liga Profesional ,03/09/2012,Colon Santa FE,River Plate,1.0,1.0,D,2.54,3.16,3.16
48,Liga Profesional ,03/09/2012,Quilmes,Argentinos Jrs,0.0,1.0,A,2.18,3.39,3.66
49,Liga Profesional ,04/09/2012,Racing Club,San Martin S.J.,3.0,1.0,H,1.9,3.51,4.66
50,Liga Profesional ,08/09/2012,San Martin S.J.,Arsenal Sarandi,4.0,0.0,H,3.37,3.1,2.46
51,Liga Profesional ,08/09/2012,Atl. Rafaela,All Boys,2.0,1.0,H,2.33,3.27,3.45
52,Liga Profesional ,08/09/2012,Estudiantes L.P.,Velez Sarsfield,0.0,0.0,D,3.46,3.19,2.37
53,Liga Profesional ,09/09/2012,San Lorenzo,Colon Santa FE,2.0,1.0,H,2.52,3.3,3.06
54,Liga Profesional ,09/09/2012,Argentinos Jrs,Boca Juniors,1.0,1.0,D,3.07,3.17,2.6
55,Liga Profesional ,09/09/2012,Belgrano,Racing Club,1.0,0.0,H,2.44,3.17,3.33
56,Liga Profesional ,09/09/2012,Independiente,Quilmes,1.0,1.0,D,2.69,3.11,3.01
57,Liga Profesional ,10/09/2012,River Plate,Newells Old Boys,3.0,3.0,D,2.31,3.15,3.64
58,Liga Profesional ,10/09/2012,Union de Santa Fe,Tigre,1.0,1.0,D,2.92,3.26,2.66
59,Liga Profesional ,10/09/2012,Lanus,Godoy Cruz,2.0,0.0,H,2.02,3.38,4.26
60,Liga Profesional ,15/09/2012,Tigre,Colon Santa FE,2.0,2.0,D,2.52,3.3,3.06
61,Liga Profesional ,15/09/2012,All Boys,Argentinos Jrs,0.0,1.0,A,2.38,3.19,3.42
62,Liga Profesional ,15/09/2012,Godoy Cruz,San Martin S.J.,1.0,0.0,H,1.85,3.51,4.99
63,Liga Profesional ,16/09/2012,Racing Club,Estudiantes L.P.,0.0,1.0,A,2.44,3.13,3.38
64,Liga Profesional ,16/09/2012,Boca Juniors,Independiente,2.0,1.0,H,1.78,3.61,5.41
65,Liga Profesional ,16/09/2012,Newells Old Boys,San Lorenzo,1.0,0.0,H,2.04,3.2,4.5
66,Liga Profesional ,16/09/2012,Arsenal Sarandi,Belgrano,0.0,2.0,A,2.31,3.1,3.67
67,Liga Profesional ,17/09/2012,Velez Sarsfield,River Plate,2.0,0.0,H,2.12,3.39,3.85
68,Liga Profesional ,17/09/2012,Union de Santa Fe,Atl. Rafaela,0.0,0.0,D,2.72,3.1,2.98
69,Liga Profesional ,18/09/2012,Quilmes,Lanus,0.0,0.0,D,3.28,3.07,2.52
70,Liga Profesional ,21/09/2012,Belgrano,Godoy Cruz,1.0,0.0,H,2.38,3.05,3.6
71,Liga Profesional ,22/09/2012,Atl. Rafaela,Tigre,3.0,0.0,H,2.49,3.19,3.23
72,Liga Profesional ,22/09/2012,Argentinos Jrs,Union de Santa Fe,3.0,3.0,D,1.93,3.48,4.62
73,Liga Profesional ,22/09/2012,San Lorenzo,Velez Sarsfield,1.0,2.0,A,3.2,3.18,2.5
74,Liga Profesional ,23/09/2012,Independiente,All Boys,1.0,1.0,D,2.54,3.02,3.33
75,Liga Profesional ,23/09/2012,River Plate,Racing Club,0.0,1.0,A,2.21,3.3,3.72
76,Liga Profesional ,23/09/2012,Colon Santa FE,Newells Old Boys,1.0,2.0,A,2.56,3.11,3.2
77,Liga Profesional ,23/09/2012,San Martin S.J.,Quilmes,4.0,0.0,H,2.61,3.06,3.18
78,Liga Profesional ,23/09/2012,Lanus,Boca Juniors,2.0,0.0,H,2.73,3.16,2.92
79,Liga Profesional ,24/09/2012,Estudiantes L.P.,Arsenal Sarandi,2.0,1.0,H,2.16,3.18,4.0
80,Liga Profesional ,28/09/2012,Quilmes,Belgrano,1.0,1.0,D,2.5,3.14,3.26
81,Liga Profesional ,29/09/2012,All Boys,Lanus,2.0,1.0,H,2.9,3.1,2.75
82,Liga Profesional ,29/09/2012,Godoy Cruz,Estudiantes L.P.,1.0,0.0,H,2.39,3.19,3.42
83,Liga Profesional ,29/09/2012,Atl. Rafaela,Argentinos Jrs,5.0,3.0,H,2.42,3.34,3.21
84,Liga Profesional ,30/09/2012,Racing Club,San Lorenzo,4.0,0.0,H,2.41,3.09,3.48
85,Liga Profesional ,30/09/2012,Arsenal Sarandi,River Plate,0.0,4.0,A,2.74,3.05,3.0
86,Liga Profesional ,30/09/2012,Tigre,Newells Old Boys,0.0,0.0,D,3.18,3.21,2.5
87,Liga Profesional ,30/09/2012,Union de Santa Fe,Independiente,1.0,2.0,A,2.6,3.15,3.08
88,Liga Profesional ,30/09/2012,Velez Sarsfield,Colon Santa FE,2.0,4.0,A,1.83,3.46,5.28
89,Liga Profesional ,30/09/2012,Boca Juniors,San Martin S.J.,1.0,1.0,D,1.66,3.86,6.08
90,Liga Profesional ,05/10/2012,Lanus,Union de Santa Fe,2.0,0.0,H,1.6,3.92,6.84
91,Liga Profesional ,06/10/2012,Argentinos Jrs,Tigre,0.0,0.0,D,2.29,3.26,3.54
92,Liga Profesional ,06/10/2012,San Martin S.J.,All Boys,2.0,1.0,H,2.31,3.17,3.61
93,Liga Profesional ,06/10/2012,San Lorenzo,Arsenal Sarandi,0.0,0.0,D,2.65,3.01,3.17
94,Liga Profesional ,06/10/2012,Estudiantes L.P.,Quilmes,2.0,1.0,H,1.96,3.15,5.05
95,Liga Profesional ,07/10/2012,Colon Santa FE,Racing Club,0.0,1.0,A,2.24,3.2,3.76
96,Liga Profesional ,07/10/2012,Belgrano,Boca Juniors,3.0,1.0,H,3.07,3.11,2.65
97,Liga Profesional ,07/10/2012,Independiente,Atl. Rafaela,2.0,0.0,H,2.23,3.15,3.84
98,Liga Profesional ,07/10/2012,Newells Old Boys,Velez Sarsfield,1.0,0.0,H,2.46,3.19,3.26
99,Liga Profesional ,07/10/2012,River Plate,Godoy Cruz,5.0,0.0,H,1.76,3.73,5.31
100,Liga Profesional ,19/10/2012,Arsenal Sarandi,Colon Santa FE,2.0,0.0,H,2.44,3.28,3.21
101,Liga Profesional ,20/10/2012,Argentinos Jrs,Independiente,0.0,1.0,A,2.49,3.2,3.21
102,Liga Profesional ,20/10/2012,All Boys,Belgrano,1.0,0.0,H,2.64,3.05,3.13
103,Liga Profesional ,20/10/2012,Union de Santa Fe,San Martin S.J.,1.0,2.0,A,2.5,3.06,3.33
104,Liga Profesional ,20/10/2012,Godoy Cruz,San Lorenzo,0.0,0.0,D,2.27,3.1,3.78
105,Liga Profesional ,20/10/2012,Tigre,Velez Sarsfield,0.0,1.0,A,3.85,3.24,2.19
106,Liga Profesional ,21/10/2012,Racing Club,Newells Old Boys,0.0,0.0,D,2.61,3.08,3.15
107,Liga Profesional ,21/10/2012,Quilmes,River Plate,1.0,0.0,H,3.81,3.29,2.18
108,Liga Profesional ,21/10/2012,Atl. Rafaela,Lanus,1.0,2.0,A,3.02,3.1,2.69
109,Liga Profesional ,21/10/2012,Boca Juniors,Estudiantes L.P.,0.0,0.0,D,2.12,3.42,3.83
110,Liga Profesional ,27/10/2012,San Lorenzo,Quilmes,2.0,2.0,D,2.18,3.2,3.95
111,Liga Profesional ,27/10/2012,San Martin S.J.,Atl. Rafaela,1.0,2.0,A,2.09,3.3,4.09
112,Liga Profesional ,27/10/2012,Estudiantes L.P.,All Boys,0.0,1.0,A,1.77,3.54,5.64
113,Liga Profesional ,27/10/2012,Newells Old Boys,Arsenal Sarandi,2.0,1.0,H,1.83,3.43,5.31
114,Liga Profesional ,28/10/2012,Velez Sarsfield,Racing Club,1.0,0.0,H,1.89,3.44,4.82
115,Liga Profesional ,28/10/2012,River Plate,Boca Juniors,2.0,2.0,D,2.35,3.1,3.6
116,Liga Profesional ,28/10/2012,Belgrano,Union de Santa Fe,1.0,0.0,H,1.88,3.44,4.95
117,Liga Profesional ,28/10/2012,Lanus,Argentinos Jrs,1.0,0.0,H,1.99,3.34,4.49
118,Liga Profesional ,29/10/2012,Colon Santa FE,Godoy Cruz,1.0,1.0,D,2.06,3.36,4.09
119,Liga Profesional ,02/11/2012,Atl. Rafaela,Belgrano,1.0,3.0,A,2.66,3.08,3.08
120,Liga Profesional ,03/11/2012,Argentinos Jrs,San Martin S.J.,1.0,1.0,D,2.35,3.22,3.45
121,Liga Profesional ,03/11/2012,Union de Santa Fe,Estudiantes L.P.,2.0,2.0,D,3.57,3.11,2.35
122,Liga Profesional ,03/11/2012,Boca Juniors,San Lorenzo,3.0,1.0,H,2.06,3.34,4.15
123,Liga Profesional ,03/11/2012,Arsenal Sarandi,Velez Sarsfield,1.0,5.0,A,3.87,3.18,2.21
124,Liga Profesional ,04/11/2012,Godoy Cruz,Newells Old Boys,1.0,1.0,D,3.11,3.1,2.62
125,Liga Profesional ,04/11/2012,Quilmes,Colon Santa FE,2.0,2.0,D,3.02,3.07,2.71
126,Liga Profesional ,04/11/2012,All Boys,River Plate,0.0,0.0,D,3.2,3.16,2.52
127,Liga Profesional ,05/11/2012,Tigre,Racing Club,1.0,1.0,D,3.32,3.02,2.54
128,Liga Profesional ,06/11/2012,Independiente,Lanus,0.0,2.0,A,3.45,3.08,2.44
129,Liga Profesional ,09/11/2012,Belgrano,Argentinos Jrs,0.0,0.0,D,2.02,3.38,4.28
130,Liga Profesional ,09/11/2012,Newells Old Boys,Quilmes,0.0,0.0,D,1.61,3.89,6.88
131,Liga Profesional ,10/11/2012,Velez Sarsfield,Godoy Cruz,2.0,1.0,H,1.52,4.2,7.82
132,Liga Profesional ,10/11/2012,San Lorenzo,All Boys,4.0,0.0,H,2.27,3.16,3.73
133,Liga Profesional ,10/11/2012,River Plate,Union de Santa Fe,2.0,0.0,H,1.56,4.09,7.2
134,Liga Profesional ,10/11/2012,Estudiantes L.P.,Atl. Rafaela,3.0,1.0,H,1.83,3.6,5.0
135,Liga Profesional ,11/11/2012,Lanus,Tigre,4.0,1.0,H,1.82,3.65,4.95
136,Liga Profesional ,11/11/2012,San Martin S.J.,Independiente,0.0,0.0,D,2.24,3.3,3.63
137,Liga Profesional ,11/11/2012,Colon Santa FE,Boca Juniors,0.0,0.0,D,2.31,3.3,3.47
138,Liga Profesional ,11/11/2012,Racing Club,Arsenal Sarandi,0.0,0.0,D,2.24,3.2,3.75
139,Liga Profesional ,13/11/2012,Argentinos Jrs,Estudiantes L.P.,2.0,1.0,H,3.2,3.11,2.54
140,Liga Profesional ,13/11/2012,Union de Santa Fe,San Lorenzo,2.0,2.0,D,3.0,3.22,2.62
141,Liga Profesional ,14/11/2012,Quilmes,Velez Sarsfield,0.0,1.0,A,4.48,3.37,1.98
142,Liga Profesional ,14/11/2012,All Boys,Colon Santa FE,1.0,1.0,D,2.33,3.26,3.44
143,Liga Profesional ,15/11/2012,Atl. Rafaela,River Plate,0.0,0.0,D,3.62,3.26,2.25
144,Liga Profesional ,15/11/2012,Godoy Cruz,Racing Club,0.0,1.0,A,2.59,3.05,3.22
145,Liga Profesional ,15/11/2012,Lanus,San Martin S.J.,2.0,1.0,H,1.58,4.03,6.89
146,Liga Profesional ,16/11/2012,Boca Juniors,Newells Old Boys,0.0,0.0,D,2.6,3.09,3.16
147,Liga Profesional ,16/11/2012,Tigre,Arsenal Sarandi,0.0,1.0,A,2.7,3.25,2.89
148,Liga Profesional ,17/11/2012,San Lorenzo,Atl. Rafaela,1.0,0.0,H,1.87,3.67,4.55
149,Liga Profesional ,17/11/2012,Estudiantes L.P.,Independiente,2.0,0.0,H,1.99,3.3,4.55
150,Liga Profesional ,18/11/2012,Arsenal Sarandi,Godoy Cruz,3.0,0.0,H,2.1,3.46,3.85
151,Liga Profesional ,18/11/2012,Colon Santa FE,Union de Santa Fe,2.0,0.0,H,1.7,4.01,5.25
152,Liga Profesional ,18/11/2012,San Martin S.J.,Tigre,2.0,2.0,D,2.29,3.24,3.56
153,Liga Profesional ,18/11/2012,Newells Old Boys,All Boys,1.0,2.0,A,1.69,3.59,6.4
154,Liga Profesional ,18/11/2012,Velez Sarsfield,Boca Juniors,0.0,1.0,A,2.0,3.45,4.25
155,Liga Profesional ,19/11/2012,Belgrano,Lanus,0.0,2.0,A,2.83,3.02,2.95
156,Liga Profesional ,19/11/2012,Racing Club,Quilmes,4.0,0.0,H,1.79,3.48,5.54
157,Liga Profesional ,20/11/2012,River Plate,Argentinos Jrs,0.0,0.0,D,1.79,3.61,5.3
158,Liga Profesional ,24/11/2012,Independiente,River Plate,2.0,2.0,D,3.32,3.1,2.49
159,Liga Profesional ,24/11/2012,Union de Santa Fe,Newells Old Boys,2.0,2.0,D,4.59,3.32,1.97
160,Liga Profesional ,24/11/2012,San Martin S.J.,Belgrano,1.0,1.0,D,2.91,3.17,2.73
161,Liga Profesional ,25/11/2012,Argentinos Jrs,San Lorenzo,1.0,2.0,A,3.08,3.04,2.68
162,Liga Profesional ,25/11/2012,All Boys,Velez Sarsfield,0.0,2.0,A,3.87,3.16,2.21
163,Liga Profesional ,25/11/2012,Lanus,Estudiantes L.P.,0.0,0.0,D,2.02,3.45,4.16
164,Liga Profesional ,25/11/2012,Tigre,Godoy Cruz,2.0,0.0,H,2.1,3.37,3.93
165,Liga Profesional ,25/11/2012,Boca Juniors,Racing Club,3.0,1.0,H,2.64,3.03,3.16
166,Liga Profesional ,26/11/2012,Quilmes,Arsenal Sarandi,1.0,2.0,A,2.77,3.15,2.89
167,Liga Profesional ,27/11/2012,Atl. Rafaela,Colon Santa FE,2.0,0.0,H,3.23,3.27,2.44
168,Liga Profesional ,28/11/2012,Independiente,Belgrano,1.0,2.0,A,2.62,3.08,3.14
169,Liga Profesional ,01/12/2012,Godoy Cruz,Quilmes,0.0,0.0,D,1.96,3.33,4.66
170,Liga Profesional ,01/12/2012,Colon Santa FE,Argentinos Jrs,3.0,1.0,H,1.86,3.52,4.9
171,Liga Profesional ,02/12/2012,Racing Club,All Boys,3.0,1.0,H,1.86,3.51,4.92
172,Liga Profesional ,02/12/2012,Belgrano,Tigre,1.0,0.0,H,1.71,3.85,5.47
173,Liga Profesional ,02/12/2012,River Plate,Lanus,1.0,0.0,H,2.61,3.13,3.11
174,Liga Profesional ,02/12/2012,Velez Sarsfield,Union de Santa Fe,2.0,0.0,H,1.33,5.18,12.35
175,Liga Profesional ,02/12/2012,San Lorenzo,Independiente,2.0,1.0,H,2.08,3.24,4.25
176,Liga Profesional ,02/12/2012,Arsenal Sarandi,Boca Juniors,1.0,0.0,H,2.98,3.23,2.63
177,Liga Profesional ,03/12/2012,Newells Old Boys,Atl. Rafaela,3.0,0.0,H,1.67,3.85,6.05
178,Liga Profesional ,03/12/2012,Estudiantes L.P.,San Martin S.J.,2.0,0.0,H,1.95,3.39,4.53
179,Liga Profesional ,07/12/2012,All Boys,Arsenal Sarandi,0.0,1.0,A,2.71,3.15,2.95
180,Liga Profesional ,08/12/2012,Union de Santa Fe,Racing Club,1.0,1.0,D,3.81,3.26,2.18
181,Liga Profesional ,08/12/2012,Argentinos Jrs,Newells Old Boys,1.0,3.0,A,2.98,3.13,2.69
182,Liga Profesional ,08/12/2012,Boca Juniors,Godoy Cruz,2.0,1.0,H,1.76,3.76,5.21
183,Liga Profesional ,08/12/2012,Atl. Rafaela,Velez Sarsfield,0.0,3.0,A,4.05,3.28,2.11
184,Liga Profesional ,08/12/2012,Belgrano,Estudiantes L.P.,1.0,0.0,H,2.54,3.15,3.18
185,Liga Profesional ,09/12/2012,Lanus,San Lorenzo,0.0,0.0,D,2.16,3.15,4.07
186,Liga Profesional ,09/12/2012,Independiente,Colon Santa FE,2.0,2.0,D,2.33,3.25,3.47
187,Liga Profesional ,09/12/2012,San Martin S.J.,River Plate,0.0,2.0,A,3.31,3.15,2.42
188,Liga Profesional ,03/02/2013,Independiente,Tigre,1.0,1.0,D,2.36,3.3,3.35
189,Liga Profesional ,08/02/2013,Union de Santa Fe,Arsenal Sarandi,1.0,1.0,D,3.31,3.03,2.54
190,Liga Profesional ,09/02/2013,Argentinos Jrs,Velez Sarsfield,0.0,1.0,A,4.49,3.34,1.99
191,Liga Profesional ,09/02/2013,All Boys,Godoy Cruz,1.0,1.0,D,2.49,3.19,3.23
192,Liga Profesional ,09/02/2013,Estudiantes L.P.,Tigre,1.0,3.0,A,2.08,3.26,4.19
193,Liga Profesional ,09/02/2013,Boca Juniors,Quilmes,3.0,2.0,H,1.74,3.63,5.75
194,Liga Profesional ,10/02/2013,San Martin S.J.,San Lorenzo,0.0,0.0,D,3.03,3.09,2.68
195,Liga Profesional ,10/02/2013,Atl. Rafaela,Racing Club,3.0,0.0,H,3.35,3.2,2.41
196,Liga Profesional ,10/02/2013,Independiente,Newells Old Boys,1.0,3.0,A,2.98,3.09,2.73
197,Liga Profesional ,10/02/2013,Belgrano,River Plate,1.0,2.0,A,2.96,3.12,2.74
198,Liga Profesional ,11/02/2013,Lanus,Colon Santa FE,4.0,0.0,H,2.04,3.24,4.42
199,Liga Profesional ,13/02/2013,Quilmes,Tigre,0.0,0.0,D,2.52,3.25,3.11
200,Liga Profesional ,16/02/2013,Racing Club,Argentinos Jrs,2.0,0.0,H,1.8,3.43,5.61
201,Liga Profesional ,16/02/2013,Godoy Cruz,Union de Santa Fe,2.0,1.0,H,1.87,3.42,5.08
202,Liga Profesional ,16/02/2013,San Lorenzo,Belgrano,0.0,0.0,D,2.14,3.13,4.16
203,Liga Profesional ,16/02/2013,Colon Santa FE,San Martin S.J.,1.0,1.0,D,1.83,3.68,4.8
204,Liga Profesional ,16/02/2013,Velez Sarsfield,Independiente,0.0,1.0,A,1.74,3.74,5.45
205,Liga Profesional ,17/02/2013,Tigre,Boca Juniors,0.0,0.0,D,2.5,3.37,3.04
206,Liga Profesional ,17/02/2013,Quilmes,All Boys,2.0,1.0,H,2.25,3.25,3.63
207,Liga Profesional ,17/02/2013,Newells Old Boys,Lanus,0.0,3.0,A,2.78,3.05,2.96
208,Liga Profesional ,17/02/2013,River Plate,Estudiantes L.P.,1.0,0.0,H,2.0,3.27,4.51
209,Liga Profesional ,18/02/2013,Arsenal Sarandi,Atl. Rafaela,0.0,0.0,D,2.2,3.19,3.84
210,Liga Profesional ,22/02/2013,Argentinos Jrs,Arsenal Sarandi,1.0,2.0,A,3.26,3.12,2.52
211,Liga Profesional ,23/02/2013,Estudiantes L.P.,San Lorenzo,1.0,1.0,D,2.42,3.1,3.45
212,Liga Profesional ,23/02/2013,Union de Santa Fe,Quilmes,0.0,3.0,A,2.57,3.22,3.07
213,Liga Profesional ,23/02/2013,All Boys,Boca Juniors,2.0,0.0,H,3.37,3.09,2.47
214,Liga Profesional ,23/02/2013,Lanus,Velez Sarsfield,1.0,0.0,H,2.0,3.39,4.3
215,Liga Profesional ,24/02/2013,Atl. Rafaela,Godoy Cruz,1.0,2.0,A,2.25,3.29,3.64
216,Liga Profesional ,24/02/2013,Independiente,Racing Club,2.0,0.0,H,2.66,3.15,3.01
217,Liga Profesional ,24/02/2013,Belgrano,Colon Santa FE,2.0,1.0,H,2.25,3.19,3.71
218,Liga Profesional ,24/02/2013,River Plate,Tigre,3.0,2.0,H,1.68,3.67,6.4
219,Liga Profesional ,26/02/2013,San Martin S.J.,Newells Old Boys,1.0,1.0,D,3.04,3.08,2.69
220,Liga Profesional ,01/03/2013,Quilmes,Atl. Rafaela,3.0,3.0,D,2.27,3.35,3.45
221,Liga Profesional ,02/03/2013,Newells Old Boys,Belgrano,2.0,0.0,H,2.0,3.22,4.57
222,Liga Profesional ,02/03/2013,Colon Santa FE,Estudiantes L.P.,3.0,3.0,D,2.37,3.13,3.52
223,Liga Profesional ,02/03/2013,Arsenal Sarandi,Independiente,1.0,0.0,H,2.6,3.18,3.06
224,Liga Profesional ,03/03/2013,Godoy Cruz,Argentinos Jrs,0.0,0.0,D,1.96,3.4,4.51
225,Liga Profesional ,03/03/2013,San Lorenzo,River Plate,2.0,0.0,H,3.14,3.07,2.62
226,Liga Profesional ,03/03/2013,Tigre,All Boys,2.0,1.0,H,2.56,3.17,3.13
227,Liga Profesional ,03/03/2013,Racing Club,Lanus,0.0,0.0,D,2.83,3.2,2.78
228,Liga Profesional ,03/03/2013,Boca Juniors,Union de Santa Fe,1.0,3.0,A,1.5,4.45,7.59
229,Liga Profesional ,05/03/2013,Velez Sarsfield,San Martin S.J.,3.0,0.0,H,1.6,3.82,7.35
230,Liga Profesional ,08/03/2013,Belgrano,Velez Sarsfield,1.0,0.0,H,2.74,3.02,3.04
231,Liga Profesional ,09/03/2013,Independiente,Godoy Cruz,0.0,1.0,A,2.29,3.12,3.71
232,Liga Profesional ,09/03/2013,Union de Santa Fe,All Boys,1.0,1.0,D,2.59,3.14,3.12
233,Liga Profesional ,09/03/2013,Estudiantes L.P.,Newells Old Boys,2.0,4.0,A,1.83,3.58,4.98
234,Liga Profesional ,09/03/2013,San Martin S.J.,Racing Club,0.0,3.0,A,2.79,3.13,2.88
235,Liga Profesional ,10/03/2013,San Lorenzo,Tigre,0.0,1.0,A,1.93,3.42,4.67
236,Liga Profesional ,10/03/2013,River Plate,Colon Santa FE,2.0,1.0,H,1.76,3.62,5.57
237,Liga Profesional ,10/03/2013,Atl. Rafaela,Boca Juniors,1.0,1.0,D,2.34,3.34,3.36
238,Liga Profesional ,11/03/2013,Lanus,Arsenal Sarandi,2.0,1.0,H,1.74,3.73,5.44
239,Liga Profesional ,12/03/2013,Argentinos Jrs,Quilmes,1.0,3.0,A,2.62,3.08,3.12
240,Liga Profesional ,16/03/2013,Tigre,Union de Santa Fe,1.0,2.0,A,1.79,3.6,5.26
241,Liga Profesional ,16/03/2013,Colon Santa FE,San Lorenzo,0.0,1.0,A,2.52,3.21,3.14
242,Liga Profesional ,16/03/2013,Quilmes,Independiente,0.0,0.0,D,2.33,3.3,3.42
243,Liga Profesional ,17/03/2013,Godoy Cruz,Lanus,0.0,1.0,A,3.16,3.16,2.54
244,Liga Profesional ,17/03/2013,Newells Old Boys,River Plate,1.0,0.0,H,2.4,3.26,3.31
245,Liga Profesional ,17/03/2013,Racing Club,Belgrano,1.0,1.0,D,2.02,3.18,4.59
246,Liga Profesional ,17/03/2013,Velez Sarsfield,Estudiantes L.P.,1.0,1.0,D,1.84,3.5,5.12
247,Liga Profesional ,17/03/2013,Boca Juniors,Argentinos Jrs,1.0,1.0,D,1.83,3.5,5.16
248,Liga Profesional ,18/03/2013,Arsenal Sarandi,San Martin S.J.,3.0,2.0,H,1.75,3.65,5.61
249,Liga Profesional ,19/03/2013,All Boys,Atl. Rafaela,2.0,1.0,H,2.33,3.31,3.41
