,league,date,home,away,home_goals_ht,away_goals_ht,result_ht,home_goals_ft,away_goals_ft,result_ft,home_odds,draw_odds,away_odds,morethan_2.5_goals_odds
0,Premier League,2015-08-08,Bournemouth,Aston Villa,0,0,D,0,1,A,2.0,3.6,4.0,
1,Premier League,2015-08-08,Chelsea,Swansea,2,1,H,2,2,D,1.36,5.0,11.0,
2,Premier League,2015-08-08,Everton,Watford,0,1,A,2,2,D,1.7,3.9,5.5,
3,Premier League,2015-08-08,Leicester,Sunderland,3,0,H,4,2,H,1.95,3.5,4.33,
4,Premier League,2015-08-08,Man United,Tottenham,1,0,H,1,0,H,1.65,4.0,6.0,
5,Premier League,2015-08-08,Norwich,Crystal Palace,0,1,A,1,3,A,2.55,3.3,3.0,
6,Premier League,2015-09-08,Arsenal,West Ham,0,1,A,0,2,A,1.29,6.0,12.0,
7,Premier League,2015-09-08,Newcastle,Southampton,1,1,D,2,2,D,2.88,3.3,2.7,
8,Premier League,2015-09-08,Stoke,Liverpool,0,0,D,0,1,A,3.4,3.4,2.3,
9,Premier League,2015-10-08,West Brom,Man City,0,2,A,0,3,A,5.75,4.0,1.67,
10,Premier League,2015-08-14,Aston Villa,Man United,0,1,A,0,1,A,5.5,3.8,1.73,
11,Premier League,2015-08-15,Southampton,Everton,0,2,A,0,3,A,1.95,3.6,4.33,
12,Premier League,2015-08-15,Sunderland,Norwich,0,2,A,1,3,A,2.5,3.3,3.1,
13,Premier League,2015-08-15,Swansea,Newcastle,1,0,H,2,0,H,1.95,3.6,4.33,
14,Premier League,2015-08-15,Tottenham,Stoke,2,0,H,2,2,D,1.8,3.75,5.0,
15,Premier League,2015-08-15,Watford,West Brom,0,0,D,0,0,D,2.3,3.4,3.4,
16,Premier League,2015-08-15,West Ham,Leicester,0,2,A,1,2,A,2.25,3.5,3.4,
17,Premier League,2015-08-16,Crystal Palace,Arsenal,1,1,D,1,2,A,5.25,3.9,1.73,
18,Premier League,2015-08-16,Man City,Chelsea,1,0,H,3,0,H,2.1,3.5,3.75,
19,Premier League,2015-08-17,Liverpool,Bournemouth,1,0,H,1,0,H,1.45,4.75,8.0,
20,Premier League,2015-08-22,Crystal Palace,Aston Villa,0,0,D,2,1,H,1.85,3.6,4.75,
21,Premier League,2015-08-22,Leicester,Tottenham,0,0,D,1,1,D,2.63,3.6,2.75,
22,Premier League,2015-08-22,Man United,Newcastle,0,0,D,0,0,D,1.36,5.25,10.0,
23,Premier League,2015-08-22,Norwich,Stoke,1,1,D,1,1,D,2.3,3.3,3.5,
24,Premier League,2015-08-22,Sunderland,Swansea,0,1,A,1,1,D,4.0,3.4,2.1,
25,Premier League,2015-08-22,West Ham,Bournemouth,0,2,A,3,4,A,2.38,3.4,3.2,
26,Premier League,2015-08-23,Everton,Man City,0,0,D,0,2,A,5.0,4.0,1.73,
27,Premier League,2015-08-23,Watford,Southampton,0,0,D,0,0,D,2.8,3.3,2.75,
28,Premier League,2015-08-23,West Brom,Chelsea,1,3,A,2,3,A,6.5,4.0,1.62,
29,Premier League,2015-08-24,Arsenal,Liverpool,0,0,D,0,0,D,1.75,4.0,5.0,
30,Premier League,2015-08-29,Aston Villa,Sunderland,2,1,H,2,2,D,1.91,3.5,4.75,
31,Premier League,2015-08-29,Bournemouth,Leicester,1,0,H,1,1,D,2.2,3.6,3.4,
32,Premier League,2015-08-29,Chelsea,Crystal Palace,0,0,D,1,2,A,1.36,5.0,11.0,
33,Premier League,2015-08-29,Liverpool,West Ham,0,2,A,0,3,A,1.36,5.5,9.0,
34,Premier League,2015-08-29,Man City,Watford,0,0,D,2,0,H,1.2,8.0,15.0,
35,Premier League,2015-08-29,Newcastle,Arsenal,0,0,D,0,1,A,6.0,4.2,1.62,
36,Premier League,2015-08-29,Stoke,West Brom,0,1,A,0,1,A,1.95,3.4,4.5,
37,Premier League,2015-08-29,Tottenham,Everton,0,0,D,0,0,D,2.0,3.5,4.2,
38,Premier League,2015-08-30,Southampton,Norwich,1,0,H,3,0,H,2.05,3.5,4.0,
39,Premier League,2015-08-30,Swansea,Man United,0,0,D,2,1,H,3.6,3.3,2.25,
40,Premier League,2015-12-09,Arsenal,Stoke,1,0,H,2,0,H,1.29,6.0,12.0,
41,Premier League,2015-12-09,Crystal Palace,Man City,0,0,D,0,1,A,5.5,4.2,1.67,
42,Premier League,2015-12-09,Everton,Chelsea,2,1,H,3,1,H,4.0,3.6,2.0,
43,Premier League,2015-12-09,Man United,Liverpool,0,0,D,3,1,H,2.0,3.4,4.33,
44,Premier League,2015-12-09,Norwich,Bournemouth,1,0,H,3,1,H,2.4,3.4,3.2,
45,Premier League,2015-12-09,Watford,Swansea,0,0,D,1,0,H,2.75,3.4,2.75,
46,Premier League,2015-12-09,West Brom,Southampton,0,0,D,0,0,D,3.2,3.2,2.5,
47,Premier League,2015-09-13,Leicester,Aston Villa,0,1,A,3,2,H,1.91,3.75,4.33,
48,Premier League,2015-09-13,Sunderland,Tottenham,0,0,D,0,1,A,4.33,3.6,1.95,
49,Premier League,2015-09-14,West Ham,Newcastle,1,0,H,2,0,H,2.25,3.5,3.4,
50,Premier League,2015-09-19,Aston Villa,West Brom,0,1,A,0,1,A,2.3,3.25,3.5,
51,Premier League,2015-09-19,Bournemouth,Sunderland,2,0,H,2,0,H,1.7,4.0,5.5,
52,Premier League,2015-09-19,Chelsea,Arsenal,0,0,D,2,0,H,2.45,3.5,3.0,
53,Premier League,2015-09-19,Man City,West Ham,1,2,A,1,2,A,1.29,6.5,11.0,
54,Premier League,2015-09-19,Newcastle,Watford,0,2,A,1,2,A,2.5,3.3,3.1,
55,Premier League,2015-09-19,Stoke,Leicester,2,0,H,2,2,D,2.5,3.4,3.0,
56,Premier League,2015-09-19,Swansea,Everton,0,0,D,0,0,D,2.3,3.4,3.4,
57,Premier League,2015-09-20,Liverpool,Norwich,0,0,D,1,1,D,1.67,4.0,5.75,
58,Premier League,2015-09-20,Southampton,Man United,1,1,D,2,3,A,3.1,3.3,2.5,
59,Premier League,2015-09-20,Tottenham,Crystal Palace,0,0,D,1,0,H,2.0,3.6,4.0,
60,Premier League,2015-09-26,Leicester,Arsenal,1,2,A,2,5,A,4.5,4.0,1.8,
61,Premier League,2015-09-26,Liverpool,Aston Villa,1,0,H,3,2,H,1.53,4.33,7.0,
62,Premier League,2015-09-26,Man United,Sunderland,1,0,H,3,0,H,1.2,7.5,16.0,
63,Premier League,2015-09-26,Newcastle,Chelsea,1,0,H,2,2,D,6.0,4.2,1.62,
64,Premier League,2015-09-26,Southampton,Swansea,1,0,H,3,1,H,2.05,3.4,4.2,
65,Premier League,2015-09-26,Stoke,Bournemouth,1,0,H,2,1,H,2.55,3.3,3.0,
66,Premier League,2015-09-26,Tottenham,Man City,1,1,D,4,1,H,4.2,3.8,1.91,
67,Premier League,2015-09-26,West Ham,Norwich,1,1,D,2,2,D,2.25,3.5,3.4,
68,Premier League,2015-09-27,Watford,Crystal Palace,0,0,D,0,1,A,2.5,3.3,3.1,
69,Premier League,2015-09-28,West Brom,Everton,1,0,H,2,3,A,3.1,3.3,2.5,
70,Premier League,2015-03-10,Aston Villa,Stoke,0,0,D,0,1,A,2.5,3.3,3.1,
71,Premier League,2015-03-10,Bournemouth,Watford,1,1,D,1,1,D,2.1,3.5,3.8,
72,Premier League,2015-03-10,Chelsea,Southampton,1,1,D,1,3,A,1.83,3.7,4.8,
73,Premier League,2015-03-10,Crystal Palace,West Brom,0,0,D,2,0,H,1.83,3.6,5.0,
74,Premier League,2015-03-10,Man City,Newcastle,1,1,D,6,1,H,1.25,7.0,13.0,
75,Premier League,2015-03-10,Norwich,Leicester,0,1,A,1,2,A,2.3,3.5,3.3,
76,Premier League,2015-03-10,Sunderland,West Ham,2,1,H,2,2,D,3.2,3.4,2.4,
77,Premier League,2015-04-10,Arsenal,Man United,3,0,H,3,0,H,2.0,3.8,3.8,
78,Premier League,2015-04-10,Everton,Liverpool,1,1,D,1,1,D,2.7,3.4,2.8,
79,Premier League,2015-04-10,Swansea,Tottenham,2,1,H,2,2,D,2.75,3.25,2.8,
80,Premier League,2015-10-17,Chelsea,Aston Villa,1,0,H,2,0,H,1.33,5.75,10.0,
81,Premier League,2015-10-17,Crystal Palace,West Ham,1,1,D,1,3,A,2.0,3.6,4.0,
82,Premier League,2015-10-17,Everton,Man United,0,2,A,0,3,A,3.25,3.4,2.38,
83,Premier League,2015-10-17,Man City,Bournemouth,4,1,H,5,1,H,1.33,5.75,10.0,
84,Premier League,2015-10-17,Southampton,Leicester,2,0,H,2,2,D,1.75,4.0,5.0,
85,Premier League,2015-10-17,Tottenham,Liverpool,0,0,D,0,0,D,2.5,3.5,3.0,
86,Premier League,2015-10-17,Watford,Arsenal,0,0,D,0,3,A,6.0,4.2,1.62,
87,Premier League,2015-10-17,West Brom,Sunderland,0,0,D,1,0,H,2.05,3.4,4.2,
88,Premier League,2015-10-18,Newcastle,Norwich,3,2,H,6,2,H,2.6,3.4,2.88,
89,Premier League,2015-10-19,Swansea,Stoke,0,1,A,0,1,A,2.05,3.4,4.2,
90,Premier League,2015-10-24,Arsenal,Everton,2,1,H,2,1,H,1.44,4.75,8.0,
91,Premier League,2015-10-24,Aston Villa,Swansea,0,0,D,1,2,A,3.0,3.3,2.6,
92,Premier League,2015-10-24,Leicester,Crystal Palace,0,0,D,1,0,H,2.2,3.6,3.4,
93,Premier League,2015-10-24,Norwich,West Brom,0,0,D,0,1,A,2.0,3.5,4.2,
94,Premier League,2015-10-24,Stoke,Watford,0,1,A,0,2,A,2.1,3.3,4.0,
95,Premier League,2015-10-24,West Ham,Chelsea,1,0,H,2,1,H,4.0,3.8,1.95,
96,Premier League,2015-10-25,Bournemouth,Tottenham,1,3,A,1,5,A,3.4,3.5,2.25,
97,Premier League,2015-10-25,Liverpool,Southampton,0,0,D,1,1,D,2.05,3.6,3.8,
98,Premier League,2015-10-25,Man United,Man City,0,0,D,0,0,D,2.6,3.5,2.8,
99,Premier League,2015-10-25,Sunderland,Newcastle,1,0,H,3,0,H,2.6,3.4,2.9,
100,Premier League,2015-10-31,Chelsea,Liverpool,1,1,D,1,3,A,2.1,3.5,3.75,
101,Premier League,2015-10-31,Crystal Palace,Man United,0,0,D,0,0,D,3.8,3.5,2.1,
102,Premier League,2015-10-31,Man City,Norwich,0,0,D,2,1,H,1.29,6.0,12.0,
103,Premier League,2015-10-31,Newcastle,Stoke,0,0,D,0,0,D,2.4,3.4,3.2,
104,Premier League,2015-10-31,Swansea,Arsenal,0,0,D,0,3,A,5.0,4.0,1.75,
105,Premier League,2015-10-31,Watford,West Ham,1,0,H,2,0,H,2.6,3.4,2.9,
106,Premier League,2015-10-31,West Brom,Leicester,1,0,H,2,3,A,2.9,3.4,2.6,
107,Premier League,2015-01-11,Everton,Sunderland,2,1,H,6,2,H,1.5,4.5,7.5,
108,Premier League,2015-01-11,Southampton,Bournemouth,2,0,H,2,0,H,1.55,4.33,6.5,
109,Premier League,2015-02-11,Tottenham,Aston Villa,2,0,H,3,1,H,1.44,4.75,8.0,
110,Premier League,2015-07-11,Bournemouth,Newcastle,0,1,A,0,1,A,2.25,3.5,3.4,
111,Premier League,2015-07-11,Leicester,Watford,0,0,D,2,1,H,1.85,3.8,4.5,
112,Premier League,2015-07-11,Man United,West Brom,0,0,D,2,0,H,1.33,5.25,12.0,
113,Premier League,2015-07-11,Norwich,Swansea,0,0,D,1,0,H,2.45,3.4,3.1,
114,Premier League,2015-07-11,Stoke,Chelsea,0,0,D,1,0,H,3.8,3.6,2.05,
115,Premier League,2015-07-11,Sunderland,Southampton,0,0,D,0,1,A,4.75,3.8,1.8,
116,Premier League,2015-07-11,West Ham,Everton,1,1,D,1,1,D,2.6,3.5,2.8,
117,Premier League,2015-08-11,Arsenal,Tottenham,0,1,A,1,1,D,1.73,4.0,5.0,
118,Premier League,2015-08-11,Aston Villa,Man City,0,0,D,0,0,D,7.5,5.0,1.44,
119,Premier League,2015-08-11,Liverpool,Crystal Palace,1,1,D,1,2,A,1.67,3.8,6.0,
120,Premier League,2015-11-21,Chelsea,Norwich,0,0,D,1,0,H,1.4,5.0,9.0,
121,Premier League,2015-11-21,Everton,Aston Villa,3,0,H,4,0,H,1.57,4.2,6.5,
122,Premier League,2015-11-21,Man City,Liverpool,1,3,A,1,4,A,1.7,4.0,5.5,
123,Premier League,2015-11-21,Newcastle,Leicester,0,1,A,0,3,A,2.88,3.6,2.5,
124,Premier League,2015-11-21,Southampton,Stoke,0,1,A,0,1,A,1.57,4.0,7.0,
125,Premier League,2015-11-21,Swansea,Bournemouth,2,2,D,2,2,D,1.91,3.6,4.5,
126,Premier League,2015-11-21,Watford,Man United,0,1,A,1,2,A,4.33,3.4,2.0,
127,Premier League,2015-11-21,West Brom,Arsenal,2,1,H,2,1,H,7.0,4.33,1.53,
128,Premier League,2015-11-22,Tottenham,West Ham,2,0,H,4,1,H,1.57,4.2,6.5,
129,Premier League,2015-11-23,Crystal Palace,Sunderland,0,0,D,0,1,A,1.57,4.0,7.0,
130,Premier League,2015-11-28,Aston Villa,Watford,1,1,D,2,3,A,2.75,3.3,2.8,
131,Premier League,2015-11-28,Bournemouth,Everton,0,2,A,3,3,D,2.9,3.6,2.5,
132,Premier League,2015-11-28,Crystal Palace,Newcastle,3,1,H,5,1,H,1.7,3.9,5.5,
133,Premier League,2015-11-28,Leicester,Man United,1,1,D,1,1,D,3.1,3.5,2.4,
134,Premier League,2015-11-28,Man City,Southampton,2,0,H,3,1,H,1.6,4.33,6.0,
135,Premier League,2015-11-28,Sunderland,Stoke,0,0,D,2,0,H,3.2,3.3,2.45,
136,Premier League,2015-11-29,Liverpool,Swansea,0,0,D,1,0,H,1.44,4.75,8.0,
137,Premier League,2015-11-29,Norwich,Arsenal,1,1,D,1,1,D,6.0,4.2,1.62,
138,Premier League,2015-11-29,Tottenham,Chelsea,0,0,D,0,0,D,2.6,3.4,2.9,
139,Premier League,2015-11-29,West Ham,West Brom,1,0,H,1,1,D,2.05,3.5,4.0,
140,Premier League,2015-05-12,Arsenal,Sunderland,1,1,D,3,1,H,1.29,6.0,13.0,
141,Premier League,2015-05-12,Chelsea,Bournemouth,0,0,D,0,1,A,1.36,5.25,9.5,
142,Premier League,2015-05-12,Man United,West Ham,0,0,D,0,0,D,1.44,4.5,9.0,
143,Premier League,2015-05-12,Southampton,Aston Villa,0,1,A,1,1,D,1.5,4.5,7.5,
144,Premier League,2015-05-12,Stoke,Man City,2,0,H,2,0,H,5.25,4.0,1.7,
145,Premier League,2015-05-12,Swansea,Leicester,0,2,A,0,3,A,2.7,3.4,2.75,
146,Premier League,2015-05-12,Watford,Norwich,1,0,H,2,0,H,2.15,3.5,3.6,
147,Premier League,2015-05-12,West Brom,Tottenham,1,1,D,1,1,D,4.75,3.6,1.85,
148,Premier League,2015-06-12,Newcastle,Liverpool,0,0,D,2,0,H,5.75,4.33,1.62,
149,Premier League,2015-07-12,Everton,Crystal Palace,0,0,D,1,1,D,2.1,3.6,3.75,
150,Premier League,2015-12-12,Bournemouth,Man United,1,1,D,2,1,H,3.4,3.4,2.3,
151,Premier League,2015-12-12,Crystal Palace,Southampton,1,0,H,1,0,H,2.6,3.3,3.0,
152,Premier League,2015-12-12,Man City,Swansea,1,0,H,2,1,H,1.3,6.0,11.0,
153,Premier League,2015-12-12,Norwich,Everton,0,1,A,1,1,D,2.9,3.5,2.55,
154,Premier League,2015-12-12,Sunderland,Watford,0,1,A,0,1,A,2.9,3.3,2.63,
155,Premier League,2015-12-12,West Ham,Stoke,0,0,D,0,0,D,2.63,3.3,2.9,
156,Premier League,2015-12-13,Aston Villa,Arsenal,0,2,A,0,2,A,6.5,4.2,1.57,
157,Premier League,2015-12-13,Liverpool,West Brom,1,1,D,2,2,D,1.4,4.75,10.0,
158,Premier League,2015-12-13,Tottenham,Newcastle,1,0,H,1,2,A,1.36,5.5,9.0,
159,Premier League,2015-12-14,Leicester,Chelsea,1,0,H,2,1,H,3.2,3.5,2.35,
160,Premier League,2015-12-19,Chelsea,Sunderland,2,0,H,3,1,H,1.33,5.25,12.0,
161,Premier League,2015-12-19,Everton,Leicester,1,1,D,2,3,A,2.1,3.75,3.6,
162,Premier League,2015-12-19,Man United,Norwich,0,1,A,1,2,A,1.45,4.5,8.5,
163,Premier League,2015-12-19,Newcastle,Aston Villa,1,0,H,1,1,D,2.05,3.5,4.0,
164,Premier League,2015-12-19,Southampton,Tottenham,0,2,A,0,2,A,2.7,3.4,2.8,
165,Premier League,2015-12-19,Stoke,Crystal Palace,0,1,A,1,2,A,2.5,3.2,3.2,
166,Premier League,2015-12-19,West Brom,Bournemouth,0,0,D,1,2,A,2.55,3.3,3.0,
167,Premier League,2015-12-20,Swansea,West Ham,0,0,D,0,0,D,2.1,3.4,3.9,
168,Premier League,2015-12-20,Watford,Liverpool,2,0,H,3,0,H,4.2,3.6,1.95,
169,Premier League,2015-12-21,Arsenal,Man City,2,0,H,2,1,H,2.45,3.5,3.0,
170,Premier League,2015-12-26,Aston Villa,West Ham,0,1,A,1,1,D,2.63,3.25,2.75,
171,Premier League,2015-12-26,Bournemouth,Crystal Palace,0,0,D,0,0,D,2.4,3.3,3.0,
172,Premier League,2015-12-26,Chelsea,Watford,1,1,D,2,2,D,1.44,4.5,7.5,
173,Premier League,2015-12-26,Liverpool,Leicester,0,0,D,1,0,H,1.91,3.8,3.8,
174,Premier League,2015-12-26,Man City,Sunderland,3,0,H,4,1,H,1.2,7.0,13.0,
175,Premier League,2015-12-26,Newcastle,Everton,0,0,D,0,1,A,3.2,3.5,2.2,
176,Premier League,2015-12-26,Southampton,Arsenal,1,0,H,4,0,H,3.6,3.5,2.05,
177,Premier League,2015-12-26,Stoke,Man United,2,0,H,2,0,H,3.25,3.2,2.3,
178,Premier League,2015-12-26,Swansea,West Brom,1,0,H,1,0,H,1.91,3.4,4.5,
179,Premier League,2015-12-26,Tottenham,Norwich,2,0,H,3,0,H,1.4,4.75,8.0,
180,Premier League,2015-12-28,Arsenal,Bournemouth,1,0,H,2,0,H,1.44,4.75,8.0,
181,Premier League,2015-12-28,Crystal Palace,Swansea,0,0,D,0,0,D,2.1,3.4,4.0,
182,Premier League,2015-12-28,Everton,Stoke,1,2,A,3,4,A,1.95,3.6,4.2,
183,Premier League,2015-12-28,Man United,Chelsea,0,0,D,0,0,D,2.6,3.3,3.0,
184,Premier League,2015-12-28,Norwich,Aston Villa,1,0,H,2,0,H,2.05,3.6,3.8,
185,Premier League,2015-12-28,Watford,Tottenham,1,1,D,1,2,A,3.75,3.5,2.1,
186,Premier League,2015-12-28,West Brom,Newcastle,0,0,D,1,0,H,2.2,3.25,3.75,
187,Premier League,2015-12-28,West Ham,Southampton,0,1,A,2,1,H,3.6,3.4,2.2,
188,Premier League,2015-12-29,Leicester,Man City,0,0,D,0,0,D,4.33,4.0,1.85,
189,Premier League,2015-12-30,Sunderland,Liverpool,0,0,D,0,1,A,5.5,3.9,1.7,
190,Premier League,2016-02-01,Arsenal,Newcastle,0,0,D,1,0,H,1.29,6.5,11.0,
191,Premier League,2016-02-01,Leicester,Bournemouth,0,0,D,0,0,D,1.91,3.75,4.33,
192,Premier League,2016-02-01,Man United,Swansea,0,0,D,2,1,H,1.55,4.2,7.0,
193,Premier League,2016-02-01,Norwich,Southampton,0,0,D,1,0,H,3.2,3.4,2.4,
194,Premier League,2016-02-01,Sunderland,Aston Villa,1,0,H,3,1,H,2.5,3.25,3.2,
195,Premier League,2016-02-01,Watford,Man City,0,0,D,1,2,A,5.0,4.0,1.75,
196,Premier League,2016-02-01,West Brom,Stoke,0,0,D,2,1,H,2.8,3.2,2.8,
197,Premier League,2016-02-01,West Ham,Liverpool,1,0,H,2,0,H,4.0,3.5,2.05,
198,Premier League,2016-03-01,Crystal Palace,Chelsea,0,1,A,0,3,A,3.8,3.5,2.1,
199,Premier League,2016-03-01,Everton,Tottenham,1,1,D,1,1,D,2.8,3.5,2.63,
200,Premier League,2016-12-01,Aston Villa,Crystal Palace,0,0,D,1,0,H,3.2,3.25,2.45,
201,Premier League,2016-12-01,Bournemouth,West Ham,1,0,H,1,3,A,2.0,3.6,4.0,
202,Premier League,2016-12-01,Newcastle,Man United,1,2,A,3,3,D,5.0,3.7,1.8,
203,Premier League,2016-01-13,Chelsea,West Brom,1,1,D,2,2,D,1.44,4.5,9.0,
204,Premier League,2016-01-13,Liverpool,Arsenal,2,2,D,3,3,D,2.88,3.4,2.6,
205,Premier League,2016-01-13,Man City,Everton,0,0,D,0,0,D,1.53,4.75,6.0,
206,Premier League,2016-01-13,Southampton,Watford,1,0,H,2,0,H,1.95,3.5,4.33,
207,Premier League,2016-01-13,Stoke,Norwich,0,0,D,3,1,H,2.05,3.3,4.2,
208,Premier League,2016-01-13,Swansea,Sunderland,2,1,H,2,4,A,1.8,3.6,5.25,
209,Premier League,2016-01-13,Tottenham,Leicester,0,0,D,0,1,A,1.75,3.8,5.25,
210,Premier League,2016-01-16,Aston Villa,Leicester,0,1,A,1,1,D,3.6,3.4,2.2,
211,Premier League,2016-01-16,Bournemouth,Norwich,1,0,H,3,0,H,1.91,3.6,4.5,
212,Premier League,2016-01-16,Chelsea,Everton,0,0,D,3,3,D,1.83,3.75,4.75,
213,Premier League,2016-01-16,Man City,Crystal Palace,2,0,H,4,0,H,1.4,5.25,8.5,
214,Premier League,2016-01-16,Newcastle,West Ham,2,0,H,2,1,H,2.5,3.4,3.0,
215,Premier League,2016-01-16,Southampton,West Brom,2,0,H,3,0,H,1.73,3.75,5.5,
216,Premier League,2016-01-16,Tottenham,Sunderland,1,1,D,4,1,H,1.36,5.25,9.5,
217,Premier League,2016-01-17,Liverpool,Man United,0,0,D,0,1,A,2.3,3.25,3.5,
218,Premier League,2016-01-17,Stoke,Arsenal,0,0,D,0,0,D,4.33,3.6,1.95,
219,Premier League,2016-01-18,Swansea,Watford,1,0,H,1,0,H,2.38,3.25,3.4,
220,Premier League,2016-01-23,Crystal Palace,Tottenham,1,0,H,1,3,A,3.6,3.5,2.15,
221,Premier League,2016-01-23,Leicester,Stoke,1,0,H,3,0,H,2.1,3.5,3.8,
222,Premier League,2016-01-23,Man United,Southampton,0,0,D,0,1,A,1.91,3.5,4.75,
223,Premier League,2016-01-23,Norwich,Liverpool,2,1,H,4,5,A,4.33,3.5,1.95,
224,Premier League,2016-01-23,Sunderland,Bournemouth,1,1,D,1,1,D,3.0,3.4,2.5,
225,Premier League,2016-01-23,Watford,Newcastle,0,0,D,2,1,H,2.05,3.5,4.0,
226,Premier League,2016-01-23,West Brom,Aston Villa,0,0,D,0,0,D,2.1,3.3,4.0,
227,Premier League,2016-01-23,West Ham,Man City,1,1,D,2,2,D,5.0,4.0,1.73,
228,Premier League,2016-01-24,Arsenal,Chelsea,0,1,A,0,1,A,2.1,3.5,3.9,
229,Premier League,2016-01-24,Everton,Swansea,1,2,A,1,2,A,1.73,3.8,5.5,
230,Premier League,2016-02-02,Arsenal,Southampton,0,0,D,0,0,D,1.75,3.75,5.25,
231,Premier League,2016-02-02,Crystal Palace,Bournemouth,1,1,D,1,2,A,2.45,3.3,3.2,
232,Premier League,2016-02-02,Leicester,Liverpool,0,0,D,2,0,H,2.63,3.4,2.88,
233,Premier League,2016-02-02,Man United,Stoke,2,0,H,3,0,H,1.7,3.75,5.75,
234,Premier League,2016-02-02,Norwich,Tottenham,0,2,A,0,3,A,4.5,3.75,1.85,
235,Premier League,2016-02-02,Sunderland,Man City,0,1,A,0,1,A,8.0,4.75,1.45,
236,Premier League,2016-02-02,West Brom,Swansea,0,0,D,1,1,D,2.63,3.1,3.1,
237,Premier League,2016-02-02,West Ham,Aston Villa,0,0,D,2,0,H,1.91,3.5,4.75,
238,Premier League,2016-03-02,Everton,Newcastle,1,0,H,3,0,H,1.65,4.2,5.5,
239,Premier League,2016-03-02,Watford,Chelsea,0,0,D,0,0,D,4.33,3.5,1.95,
240,Premier League,2016-06-02,Aston Villa,Norwich,1,0,H,2,0,H,2.45,3.2,3.3,
241,Premier League,2016-06-02,Liverpool,Sunderland,0,0,D,2,2,D,1.44,4.75,8.5,
242,Premier League,2016-06-02,Man City,Leicester,0,1,A,1,3,A,1.62,4.2,6.0,
243,Premier League,2016-06-02,Newcastle,West Brom,1,0,H,1,0,H,2.15,3.4,3.8,
244,Premier League,2016-06-02,Southampton,West Ham,1,0,H,1,0,H,1.73,3.8,5.5,
245,Premier League,2016-06-02,Stoke,Everton,0,3,A,0,3,A,2.7,3.4,2.8,
246,Premier League,2016-06-02,Swansea,Crystal Palace,1,0,H,1,1,D,2.25,3.3,3.6,
247,Premier League,2016-06-02,Tottenham,Watford,0,0,D,1,0,H,1.5,4.33,8.0,
248,Premier League,2016-07-02,Bournemouth,Arsenal,0,2,A,0,2,A,3.8,3.5,2.1,
249,Premier League,2016-07-02,Chelsea,Man United,0,0,D,1,1,D,2.15,3.3,3.9,
250,Premier League,2016-02-13,Bournemouth,Stoke,0,1,A,1,3,A,2.05,3.4,4.1,
251,Premier League,2016-02-13,Chelsea,Newcastle,3,0,H,5,1,H,1.44,4.75,8.0,
252,Premier League,2016-02-13,Crystal Palace,Watford,1,1,D,1,2,A,2.25,3.3,3.6,
253,Premier League,2016-02-13,Everton,West Brom,0,1,A,0,1,A,1.53,4.2,7.5,
254,Premier League,2016-02-13,Norwich,West Ham,0,0,D,2,2,D,2.38,3.4,3.25,
255,Premier League,2016-02-13,Sunderland,Man United,1,1,D,2,1,H,5.25,3.75,1.75,
256,Premier League,2016-02-13,Swansea,Southampton,0,0,D,0,1,A,3.2,3.25,2.5,
257,Premier League,2016-02-14,Arsenal,Leicester,0,1,A,2,1,H,1.75,4.0,5.0,
258,Premier League,2016-02-14,Aston Villa,Liverpool,0,2,A,0,6,A,4.75,3.6,1.85,
259,Premier League,2016-02-14,Man City,Tottenham,0,0,D,1,2,A,2.1,3.75,3.6,
260,Premier League,2016-02-27,Leicester,Norwich,0,0,D,1,0,H,1.5,4.33,6.0,
261,Premier League,2016-02-27,Southampton,Chelsea,1,0,H,1,2,A,2.8,3.25,2.5,
262,Premier League,2016-02-27,Stoke,Aston Villa,0,0,D,2,1,H,1.62,3.75,5.5,
263,Premier League,2016-02-27,Watford,Bournemouth,0,0,D,0,0,D,2.38,3.25,3.0,
264,Premier League,2016-02-27,West Brom,Crystal Palace,3,0,H,3,2,H,2.6,3.1,2.8,
265,Premier League,2016-02-27,West Ham,Sunderland,1,0,H,1,0,H,1.8,3.5,4.5,
266,Premier League,2016-02-28,Tottenham,Swansea,0,1,A,2,1,H,1.4,4.2,9.0,
267,Premier League,2016-02-28,Man United,Arsenal,2,1,H,3,2,H,3.0,3.25,2.38,
268,Premier League,2016-01-03,Aston Villa,Everton,0,2,A,1,3,A,4.5,3.6,1.91,
269,Premier League,2016-01-03,Bournemouth,Southampton,1,0,H,2,0,H,2.9,3.25,2.7,
270,Premier League,2016-01-03,Leicester,West Brom,2,1,H,2,2,D,1.73,3.8,5.5,
271,Premier League,2016-01-03,Norwich,Chelsea,0,2,A,1,2,A,5.25,4.0,1.7,
272,Premier League,2016-01-03,Sunderland,Crystal Palace,1,0,H,2,2,D,2.5,3.3,3.1,
273,Premier League,2016-02-03,Arsenal,Swansea,1,1,D,1,2,A,1.36,5.25,10.0,
274,Premier League,2016-02-03,Liverpool,Man City,2,0,H,3,0,H,2.63,3.4,2.88,
275,Premier League,2016-02-03,Man United,Watford,0,0,D,1,0,H,1.67,3.8,6.0,
276,Premier League,2016-02-03,Stoke,Newcastle,0,0,D,1,0,H,2.0,3.5,4.2,
277,Premier League,2016-02-03,West Ham,Tottenham,1,0,H,1,0,H,4.0,3.6,2.0,
